suburb,distance,postcode,bedroom2,bathroom,car,landsize,building_area,year_built,council_area,latitude,longitude,region_name,property_count,yr_qtr
Abbotsford,2.5,3067.0,3.0,2.0,2.0,214.0,190.0,2005.0,Yarra City Council,-37.8085,144.9964,Northern Metropolitan,4019.0,2016.4
Abbotsford,2.5,3067.0,2.0,2.0,1.0,0.0,94.0,2009.0,Yarra City Council,-37.8078,144.9965,Northern Metropolitan,4019.0,2016.4
Abbotsford,2.5,3067.0,,,,,,,Yarra City Council,-37.8084,144.9942,Northern Metropolitan,4019.0,2016.4
Abbotsford,2.5,3067.0,,,,,,,Yarra City Council,,,Northern Metropolitan,4019.0,2016.4
Abbotsford,2.5,3067.0,2.0,1.0,1.0,195.0,,,Yarra City Council,-37.8084,144.9973,Northern Metropolitan,4019.0,2016.3
Abbotsford,2.5,3067.0,1.0,1.0,1.0,0.0,,,Yarra City Council,-37.8016,144.9988,Northern Metropolitan,4019.0,2016.2
Abbotsford,2.5,3067.0,2.0,1.0,2.0,238.0,97.0,1890.0,Yarra City Council,-37.809,144.9976,Northern Metropolitan,4019.0,2016.4
Abbotsford,2.5,3067.0,3.0,2.0,2.0,0.0,129.0,2010.0,Yarra City Council,-37.8093,144.9959,Northern Metropolitan,4019.0,2016.2
Abbotsford,2.5,3067.0,3.0,2.0,1.0,113.0,110.0,1880.0,Yarra City Council,-37.8056,144.993,Northern Metropolitan,4019.0,2016.3
Abbotsford,2.5,3067.0,,,,,,,Yarra City Council,,,Northern Metropolitan,4019.0,2016.3
Abbotsford,2.5,3067.0,,,,,,,Yarra City Council,,,Northern Metropolitan,4019.0,2016.3
Abbotsford,2.5,3067.0,2.0,1.0,1.0,138.0,105.0,1890.0,Yarra City Council,-37.8021,144.9965,Northern Metropolitan,4019.0,2016.3
Abbotsford,2.5,3067.0,3.0,1.0,0.0,183.0,,,Yarra City Council,-37.8022,144.9975,Northern Metropolitan,4019.0,2016.3
Abbotsford,2.5,3067.0,2.0,1.0,1.0,150.0,73.0,1985.0,Yarra City Council,-37.8011,145.0004,Northern Metropolitan,4019.0,2016.3
Abbotsford,2.5,3067.0,4.0,2.0,2.0,780.0,135.0,1900.0,Yarra City Council,-37.8073,144.9952,Northern Metropolitan,4019.0,2017.1
Abbotsford,2.5,3067.0,3.0,2.0,1.0,119.0,167.0,2005.0,Yarra City Council,-37.8082,144.9999,Northern Metropolitan,4019.0,2017.1
Abbotsford,2.5,3067.0,3.0,2.0,2.0,0.0,,2010.0,Yarra City Council,-37.8093,144.9959,Northern Metropolitan,4019.0,2017.1
Abbotsford,2.5,3067.0,3.0,2.0,2.0,4290.0,27.0,,Yarra City Council,-37.8078,144.9965,Northern Metropolitan,4019.0,2017.1
Abbotsford,2.5,3067.0,2.0,1.0,1.0,0.0,60.0,1970.0,Yarra City Council,-37.8015,144.9972,Northern Metropolitan,4019.0,2016.2
Abbotsford,2.5,3067.0,2.0,2.0,1.0,124.0,135.0,2013.0,Yarra City Council,-37.8079,144.9977,Northern Metropolitan,4019.0,2016.2
Abbotsford,2.5,3067.0,2.0,1.0,0.0,147.0,85.0,1900.0,Yarra City Council,-37.808,144.994,Northern Metropolitan,4019.0,2016.4
Abbotsford,2.5,3067.0,,,,,,,Yarra City Council,,,Northern Metropolitan,4019.0,2016.4
Abbotsford,2.5,3067.0,,,,,,,Yarra City Council,,,Northern Metropolitan,4019.0,2016.2
Abbotsford,2.5,3067.0,,,,,,,Yarra City Council,-37.8092,144.9941,Northern Metropolitan,4019.0,2016.2
Abbotsford,2.5,3067.0,1.0,1.0,1.0,0.0,,,Yarra City Council,-37.8016,144.9988,Northern Metropolitan,4019.0,2016.3
Abbotsford,2.5,3067.0,3.0,3.0,1.0,166.0,174.0,2012.0,Yarra City Council,-37.8017,145.0001,Northern Metropolitan,4019.0,2016.3
Abbotsford,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,,Yarra City Council,-37.8078,144.9965,Northern Metropolitan,4019.0,2016.3
Abbotsford,2.5,3067.0,2.0,2.0,2.0,98.0,128.0,1920.0,Yarra City Council,-37.8005,144.9952,Northern Metropolitan,4019.0,2016.3
Abbotsford,2.5,3067.0,,,,,,,Yarra City Council,,,Northern Metropolitan,4019.0,2016.2
Abbotsford,2.5,3067.0,4.0,3.0,1.0,0.0,,,Yarra City Council,-37.7994,144.9965,Northern Metropolitan,4019.0,2016.3
Abbotsford,2.5,3067.0,,,,,,,Yarra City Council,-37.7972,144.9969,Northern Metropolitan,4019.0,2017.1
Abbotsford,2.5,3067.0,3.0,2.0,2.0,147.0,18.0,,Yarra City Council,-37.805,144.9943,Northern Metropolitan,4019.0,2017.1
Abbotsford,2.5,3067.0,3.0,1.0,1.0,168.0,124.0,1950.0,Yarra City Council,-37.8007,144.9958,Northern Metropolitan,4019.0,2017.1
Abbotsford,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,2013.0,Yarra City Council,-37.8055,144.9961,Northern Metropolitan,4019.0,2016.3
Abbotsford,2.5,3067.0,2.0,1.0,0.0,162.0,91.0,1900.0,Yarra City Council,-37.8016,144.9956,Northern Metropolitan,4019.0,2016.4
Abbotsford,2.5,3067.0,3.0,2.0,1.0,120.0,128.0,1998.0,Yarra City Council,-37.8022,144.9954,Northern Metropolitan,4019.0,2016.4
Abbotsford,2.5,3067.0,,,,,,,Yarra City Council,,,Northern Metropolitan,4019.0,2016.2
Abbotsford,2.5,3067.0,2.0,1.0,0.0,182.0,82.0,1900.0,Yarra City Council,-37.8021,144.9976,Northern Metropolitan,4019.0,2016.2
Abbotsford,2.5,3067.0,,,,,,,Yarra City Council,,,Northern Metropolitan,4019.0,2016.2
Abbotsford,2.5,3067.0,2.0,1.0,1.0,172.0,81.0,1930.0,Yarra City Council,-37.8086,144.9946,Northern Metropolitan,4019.0,2016.3
Abbotsford,2.5,3067.0,,,,,,,Yarra City Council,-37.8084,144.9942,Northern Metropolitan,4019.0,2016.3
Abbotsford,2.5,3067.0,,,,,,,Yarra City Council,,,Northern Metropolitan,4019.0,2016.3
Airport West,13.5,3042.0,3.0,2.0,1.0,303.0,225.0,2016.0,Moonee Valley City Council,-37.718,144.878,Western Metropolitan,3464.0,2016.3
Airport West,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley City Council,-37.7203,144.8755,Western Metropolitan,3464.0,2016.4
Airport West,13.5,3042.0,3.0,2.0,1.0,0.0,145.0,1965.0,Moonee Valley City Council,-37.7203,144.8755,Western Metropolitan,3464.0,2017.1
Airport West,13.5,3042.0,3.0,1.0,1.0,580.0,114.0,1960.0,Moonee Valley City Council,-37.7235,144.8736,Western Metropolitan,3464.0,2017.1
Airport West,13.5,3042.0,2.0,1.0,1.0,272.0,84.0,1950.0,Moonee Valley City Council,-37.7294,144.888,Western Metropolitan,3464.0,2017.1
Airport West,13.5,3042.0,3.0,2.0,2.0,239.0,134.0,2009.0,Moonee Valley City Council,-37.7218,144.8837,Western Metropolitan,3464.0,2017.1
Airport West,13.5,3042.0,2.0,1.0,1.0,290.0,116.0,1980.0,Moonee Valley City Council,-37.7273,144.8744,Western Metropolitan,3464.0,2017.1
Airport West,13.5,3042.0,2.0,1.0,1.0,168.0,86.0,2011.0,Moonee Valley City Council,-37.7215,144.8864,Western Metropolitan,3464.0,2017.1
Airport West,13.5,3042.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464.0,2016.2
Airport West,13.5,3042.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464.0,2016.2
Airport West,13.5,3042.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464.0,2016.3
Airport West,13.5,3042.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464.0,2016.3
Airport West,13.5,3042.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464.0,2016.3
Airport West,13.5,3042.0,2.0,1.0,1.0,620.0,,,Moonee Valley City Council,-37.7173,144.8872,Western Metropolitan,3464.0,2016.3
Airport West,13.5,3042.0,3.0,1.0,2.0,597.0,127.0,,Moonee Valley City Council,-37.7259,144.8792,Western Metropolitan,3464.0,2016.3
Airport West,13.5,3042.0,6.0,3.0,2.0,976.0,186.0,1980.0,Moonee Valley City Council,-37.7239,144.8735,Western Metropolitan,3464.0,2016.2
Airport West,13.5,3042.0,2.0,1.0,1.0,110.0,90.0,2015.0,Moonee Valley City Council,-37.7216,144.871,Western Metropolitan,3464.0,2016.2
Airport West,13.5,3042.0,2.0,1.0,1.0,141.0,73.0,2013.0,Moonee Valley City Council,-37.7298,144.8883,Western Metropolitan,3464.0,2016.4
Airport West,13.5,3042.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464.0,2016.4
Airport West,13.5,3042.0,2.0,1.0,1.0,120.0,94.0,2012.0,Moonee Valley City Council,-37.7234,144.8792,Western Metropolitan,3464.0,2016.3
Airport West,13.5,3042.0,3.0,1.0,6.0,1063.0,133.0,1975.0,Moonee Valley City Council,-37.7249,144.8728,Western Metropolitan,3464.0,2016.3
Airport West,13.5,3042.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464.0,2016.3
Airport West,13.5,3042.0,3.0,1.0,1.0,0.0,105.0,1950.0,Moonee Valley City Council,-37.7217,144.8783,Western Metropolitan,3464.0,2016.4
Airport West,13.5,3042.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464.0,2016.4
Airport West,13.5,3042.0,3.0,1.0,1.0,265.0,130.0,1993.0,Moonee Valley City Council,-37.7302,144.8855,Western Metropolitan,3464.0,2017.1
Airport West,13.5,3042.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464.0,2016.4
Airport West,13.5,3042.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464.0,2016.4
Airport West,13.5,3042.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464.0,2016.3
Airport West,13.5,3042.0,2.0,1.0,1.0,192.0,,,Moonee Valley City Council,-37.7177,144.8787,Western Metropolitan,3464.0,2016.3
Airport West,13.5,3042.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464.0,2016.2
Airport West,13.5,3042.0,3.0,2.0,2.0,596.0,,,Moonee Valley City Council,-37.7248,144.8699,Western Metropolitan,3464.0,2016.2
Airport West,13.5,3042.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464.0,2016.4
Airport West,13.5,3042.0,3.0,2.0,2.0,165.0,133.0,2009.0,Moonee Valley City Council,-37.727,144.887,Western Metropolitan,3464.0,2016.4
Airport West,13.5,3042.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464.0,2016.4
Airport West,13.5,3042.0,3.0,1.0,2.0,971.0,113.0,1960.0,Moonee Valley City Council,-37.7186,144.876,Western Metropolitan,3464.0,2016.2
Airport West,13.5,3042.0,2.0,1.0,1.0,164.0,,2003.0,Moonee Valley City Council,-37.7218,144.8863,Western Metropolitan,3464.0,2016.3
Airport West,13.5,3042.0,3.0,2.0,2.0,657.0,,,Moonee Valley City Council,-37.7269,144.8742,Western Metropolitan,3464.0,2016.3
Airport West,13.5,3042.0,2.0,1.0,1.0,612.0,100.0,1975.0,Moonee Valley City Council,-37.7187,144.8765,Western Metropolitan,3464.0,2016.3
Airport West,13.5,3042.0,3.0,2.0,5.0,612.0,174.0,1950.0,Moonee Valley City Council,-37.7173,144.8796,Western Metropolitan,3464.0,2016.3
Airport West,13.5,3042.0,3.0,1.0,1.0,775.0,,,Moonee Valley City Council,-37.7231,144.8835,Western Metropolitan,3464.0,2016.3
Airport West,13.5,3042.0,5.0,3.0,4.0,531.0,309.0,1980.0,Moonee Valley City Council,-37.7263,144.8679,Western Metropolitan,3464.0,2016.3
Airport West,13.5,3042.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464.0,2016.3
Airport West,13.5,3042.0,3.0,3.0,2.0,555.0,192.0,1980.0,Moonee Valley City Council,-37.7285,144.8694,Western Metropolitan,3464.0,2017.1
Airport West,13.5,3042.0,3.0,2.0,2.0,422.0,126.0,1995.0,Moonee Valley City Council,-37.7164,144.8792,Western Metropolitan,3464.0,2017.1
Airport West,13.5,3042.0,3.0,1.0,3.0,614.0,,,Moonee Valley City Council,-37.7194,144.8827,Western Metropolitan,3464.0,2017.1
Airport West,13.5,3042.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464.0,2016.2
Airport West,13.5,3042.0,2.0,2.0,1.0,161.0,101.0,2010.0,Moonee Valley City Council,-37.7231,144.8802,Western Metropolitan,3464.0,2016.2
Airport West,13.5,3042.0,3.0,2.0,1.0,293.0,102.0,1960.0,Moonee Valley City Council,-37.72,144.8776,Western Metropolitan,3464.0,2016.4
Airport West,13.5,3042.0,3.0,1.0,1.0,579.0,113.0,1975.0,Moonee Valley City Council,-37.7226,144.8733,Western Metropolitan,3464.0,2016.2
Airport West,13.5,3042.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464.0,2016.2
Airport West,13.5,3042.0,3.0,1.0,1.0,623.0,,,Moonee Valley City Council,-37.7184,144.882,Western Metropolitan,3464.0,2016.3
Airport West,13.5,3042.0,2.0,1.0,1.0,141.0,76.0,,Moonee Valley City Council,-37.7202,144.8797,Western Metropolitan,3464.0,2016.3
Airport West,13.5,3042.0,3.0,2.0,1.0,212.0,,,Moonee Valley City Council,-37.7181,144.8824,Western Metropolitan,3464.0,2016.3
Airport West,13.5,3042.0,3.0,1.0,2.0,612.0,,,Moonee Valley City Council,-37.7169,144.8815,Western Metropolitan,3464.0,2016.2
Airport West,13.5,3042.0,4.0,3.0,2.0,532.0,,,Moonee Valley City Council,-37.7263,144.869,Western Metropolitan,3464.0,2016.3
Airport West,13.5,3042.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464.0,2017.1
Airport West,13.5,3042.0,3.0,1.0,1.0,585.0,,,Moonee Valley City Council,-37.72,144.878,Western Metropolitan,3464.0,2017.1
Airport West,13.5,3042.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464.0,2016.3
Airport West,13.5,3042.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464.0,2016.3
Airport West,13.5,3042.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464.0,2016.2
Airport West,13.5,3042.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464.0,2016.4
Airport West,13.5,3042.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464.0,2016.4
Airport West,13.5,3042.0,4.0,1.0,2.0,509.0,,,Moonee Valley City Council,-37.7261,144.8785,Western Metropolitan,3464.0,2016.4
Airport West,13.5,3042.0,4.0,2.0,3.0,628.0,146.0,1975.0,Moonee Valley City Council,-37.7256,144.8739,Western Metropolitan,3464.0,2016.4
Airport West,13.5,3042.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464.0,2016.3
Airport West,13.5,3042.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464.0,2016.3
Airport West,13.5,3042.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464.0,2016.3
Albert Park,3.3,3206.0,2.0,1.0,0.0,120.0,82.0,1900.0,Port Phillip City Council,-37.8459,144.9555,Southern Metropolitan,3280.0,2016.3
Albert Park,3.3,3206.0,2.0,1.0,0.0,159.0,,,Port Phillip City Council,-37.845,144.9538,Southern Metropolitan,3280.0,2016.3
Albert Park,3.3,3206.0,3.0,2.0,0.0,211.0,198.0,1890.0,Port Phillip City Council,-37.8481,144.9499,Southern Metropolitan,3280.0,2017.1
Albert Park,3.3,3206.0,3.0,2.0,0.0,128.0,133.0,1890.0,Port Phillip City Council,-37.8452,144.9488,Southern Metropolitan,3280.0,2017.1
Albert Park,3.3,3206.0,2.0,1.0,0.0,215.0,,1900.0,Port Phillip City Council,-37.8405,144.953,Southern Metropolitan,3280.0,2017.1
Albert Park,3.3,3206.0,2.0,1.0,0.0,130.0,81.0,1900.0,Port Phillip City Council,-37.8431,144.9565,Southern Metropolitan,3280.0,2017.1
Albert Park,3.3,3206.0,2.0,2.0,1.0,336.0,145.0,1890.0,Port Phillip City Council,-37.8471,144.9561,Southern Metropolitan,3280.0,2016.3
Albert Park,3.3,3206.0,1.0,1.0,0.0,147.0,,1900.0,Port Phillip City Council,-37.8444,144.9484,Southern Metropolitan,3280.0,2016.3
Albert Park,3.3,3206.0,2.0,1.0,1.0,167.0,,,Port Phillip City Council,-37.8405,144.9521,Southern Metropolitan,3280.0,2016.2
Albert Park,3.3,3206.0,4.0,2.0,1.0,153.0,180.0,1880.0,Port Phillip City Council,-37.8447,144.9523,Southern Metropolitan,3280.0,2016.2
Albert Park,3.3,3206.0,3.0,1.0,2.0,316.0,125.0,1880.0,Port Phillip City Council,-37.8449,144.9536,Southern Metropolitan,3280.0,2016.2
Albert Park,3.3,3206.0,3.0,2.0,2.0,718.0,,,Port Phillip City Council,-37.8443,144.9598,Southern Metropolitan,3280.0,2016.4
Albert Park,3.3,3206.0,3.0,2.0,1.0,132.0,159.0,1996.0,Port Phillip City Council,-37.8415,144.952,Southern Metropolitan,3280.0,2016.4
Albert Park,3.3,3206.0,,,,,,,Port Phillip City Council,,,Southern Metropolitan,3280.0,2016.4
Albert Park,3.3,3206.0,2.0,1.0,1.0,199.0,107.0,1900.0,Port Phillip City Council,-37.8422,144.9554,Southern Metropolitan,3280.0,2016.3
Albert Park,3.3,3206.0,3.0,1.0,1.0,253.0,,,Port Phillip City Council,-37.8443,144.9579,Southern Metropolitan,3280.0,2016.3
Albert Park,3.3,3206.0,3.0,2.0,1.0,90.0,122.0,1900.0,Port Phillip City Council,-37.8421,144.9571,Southern Metropolitan,3280.0,2016.3
Albert Park,3.3,3206.0,3.0,1.0,0.0,126.0,88.0,1910.0,Port Phillip City Council,-37.8427,144.9515,Southern Metropolitan,3280.0,2016.3
Albert Park,3.3,3206.0,2.0,1.0,0.0,240.0,,,Port Phillip City Council,-37.8379,144.9539,Southern Metropolitan,3280.0,2016.4
Albert Park,3.3,3206.0,3.0,2.0,1.0,177.0,181.0,1880.0,Port Phillip City Council,-37.8415,144.9585,Southern Metropolitan,3280.0,2016.4
Albert Park,3.3,3206.0,5.0,2.0,1.0,237.0,,,Port Phillip City Council,-37.8436,144.9557,Southern Metropolitan,3280.0,2016.4
Albert Park,3.3,3206.0,3.0,1.0,0.0,129.0,,,Port Phillip City Council,-37.8422,144.949,Southern Metropolitan,3280.0,2016.4
Albert Park,3.3,3206.0,3.0,2.0,2.0,0.0,85.0,2000.0,Port Phillip City Council,-37.8451,144.9511,Southern Metropolitan,3280.0,2016.2
Albert Park,3.3,3206.0,2.0,1.0,0.0,288.0,,,Port Phillip City Council,-37.8407,144.9523,Southern Metropolitan,3280.0,2016.4
Albert Park,3.3,3206.0,2.0,1.0,2.0,366.0,117.0,1900.0,Port Phillip City Council,-37.847,144.9506,Southern Metropolitan,3280.0,2016.3
Albert Park,3.3,3206.0,3.0,2.0,1.0,228.0,,,Port Phillip City Council,-37.8445,144.9501,Southern Metropolitan,3280.0,2016.4
Albert Park,3.3,3206.0,2.0,1.0,0.0,149.0,98.0,1890.0,Port Phillip City Council,-37.8443,144.9481,Southern Metropolitan,3280.0,2016.4
Albert Park,3.3,3206.0,2.0,1.0,1.0,152.0,,,Port Phillip City Council,-37.8437,144.959,Southern Metropolitan,3280.0,2016.4
Albert Park,3.3,3206.0,2.0,1.0,0.0,141.0,83.0,1890.0,Port Phillip City Council,-37.8424,144.9562,Southern Metropolitan,3280.0,2016.4
Albert Park,3.3,3206.0,3.0,2.0,1.0,211.0,147.0,1900.0,Port Phillip City Council,-37.847,144.9575,Southern Metropolitan,3280.0,2016.2
Albert Park,3.3,3206.0,3.0,1.0,0.0,236.0,,,Port Phillip City Council,-37.8454,144.9521,Southern Metropolitan,3280.0,2016.3
Albert Park,3.3,3206.0,3.0,1.0,2.0,300.0,,,Port Phillip City Council,-37.8457,144.9479,Southern Metropolitan,3280.0,2017.1
Albert Park,3.3,3206.0,3.0,1.0,0.0,209.0,,1900.0,Port Phillip City Council,-37.8468,144.9546,Southern Metropolitan,3280.0,2017.1
Albert Park,3.3,3206.0,3.0,2.0,0.0,147.0,146.0,1890.0,Port Phillip City Council,-37.8473,144.9551,Southern Metropolitan,3280.0,2017.1
Albert Park,3.3,3206.0,3.0,1.0,0.0,173.0,,,Port Phillip City Council,-37.8482,144.9513,Southern Metropolitan,3280.0,2016.2
Albert Park,3.3,3206.0,4.0,3.0,1.0,327.0,254.0,1910.0,Port Phillip City Council,-37.8467,144.9475,Southern Metropolitan,3280.0,2016.2
Albert Park,3.3,3206.0,3.0,1.0,0.0,169.0,,,Port Phillip City Council,-37.8448,144.9578,Southern Metropolitan,3280.0,2016.4
Albert Park,3.3,3206.0,2.0,1.0,1.0,0.0,,,Port Phillip City Council,-37.846,144.9542,Southern Metropolitan,3280.0,2016.2
Albert Park,3.3,3206.0,3.0,2.0,1.0,122.0,,,Port Phillip City Council,-37.845,144.9545,Southern Metropolitan,3280.0,2016.2
Albert Park,3.3,3206.0,2.0,1.0,1.0,120.0,123.0,1900.0,Port Phillip City Council,-37.8427,144.9546,Southern Metropolitan,3280.0,2016.2
Albert Park,3.3,3206.0,3.0,2.0,1.0,241.0,119.0,1990.0,Port Phillip City Council,-37.8452,144.9518,Southern Metropolitan,3280.0,2016.3
Albert Park,3.3,3206.0,2.0,2.0,1.0,225.0,,,Port Phillip City Council,-37.8441,144.9479,Southern Metropolitan,3280.0,2016.3
Albert Park,3.3,3206.0,7.0,7.0,0.0,435.0,,,Port Phillip City Council,-37.8473,144.9539,Southern Metropolitan,3280.0,2016.3
Albert Park,3.3,3206.0,3.0,1.0,1.0,238.0,131.0,1890.0,Port Phillip City Council,-37.8461,144.9528,Southern Metropolitan,3280.0,2016.3
Albert Park,3.3,3206.0,1.0,1.0,0.0,0.0,34.0,1970.0,Port Phillip City Council,-37.8421,144.9517,Southern Metropolitan,3280.0,2017.1
Albert Park,3.3,3206.0,4.0,2.0,1.0,330.0,207.0,1910.0,Port Phillip City Council,-37.8477,144.9558,Southern Metropolitan,3280.0,2017.1
Albert Park,3.3,3206.0,2.0,1.0,0.0,136.0,,,Port Phillip City Council,-37.846,144.9517,Southern Metropolitan,3280.0,2017.1
Albert Park,3.3,3206.0,3.0,1.0,1.0,202.0,,,Port Phillip City Council,-37.8429,144.9493,Southern Metropolitan,3280.0,2017.1
Albert Park,3.3,3206.0,3.0,3.0,1.0,0.0,,,Port Phillip City Council,-37.8415,144.9585,Southern Metropolitan,3280.0,2016.3
Albert Park,3.3,3206.0,3.0,2.0,2.0,325.0,,,Port Phillip City Council,-37.8413,144.95,Southern Metropolitan,3280.0,2016.3
Albert Park,3.3,3206.0,3.0,2.0,1.0,183.0,145.0,1880.0,Port Phillip City Council,-37.8434,144.9495,Southern Metropolitan,3280.0,2016.2
Albert Park,3.3,3206.0,,,,,,,Port Phillip City Council,,,Southern Metropolitan,3280.0,2016.2
Albert Park,3.3,3206.0,2.0,1.0,1.0,162.0,,,Port Phillip City Council,-37.8416,144.9488,Southern Metropolitan,3280.0,2016.4
Albert Park,3.3,3206.0,2.0,1.0,0.0,79.0,68.0,1890.0,Port Phillip City Council,-37.8387,144.9519,Southern Metropolitan,3280.0,2016.2
Albert Park,3.3,3206.0,2.0,1.0,0.0,99.0,65.0,1900.0,Port Phillip City Council,-37.8438,144.9588,Southern Metropolitan,3280.0,2016.2
Albert Park,3.3,3206.0,4.0,2.0,0.0,230.0,185.0,1900.0,Port Phillip City Council,-37.842,144.958,Southern Metropolitan,3280.0,2016.2
Albert Park,3.3,3206.0,3.0,2.0,1.0,141.0,,,Port Phillip City Council,-37.8446,144.945,Southern Metropolitan,3280.0,2016.2
Albert Park,3.3,3206.0,3.0,2.0,0.0,152.0,,,Port Phillip City Council,-37.8488,144.9551,Southern Metropolitan,3280.0,2016.3
Albert Park,3.3,3206.0,3.0,2.0,2.0,147.0,134.0,1890.0,Port Phillip City Council,-37.8448,144.9453,Southern Metropolitan,3280.0,2016.3
Albert Park,3.3,3206.0,3.0,3.0,1.0,0.0,,,Port Phillip City Council,-37.8399,144.9577,Southern Metropolitan,3280.0,2016.3
