suburb,rooms,type,price,method,seller_g,date
Abbotsford,2,u,,PI,Biggin,2016-05-28
Abbotsford,2,h,1012500.0,S,Nelson,2016-05-28
Abbotsford,2,u,970000.0,SP,Biggin,2016-05-28
Abbotsford,2,h,1030000.0,S,Biggin,2016-07-30
Abbotsford,4,h,,W,Biggin,2016-07-30
Abbotsford,3,h,927000.0,S,Biggin,2016-07-30
Airport West,3,t,840000.0,PI,Nelson,2016-09-03
Airport West,3,h,730000.0,VB,Nelson,2016-12-03
Airport West,3,h,770000.0,SP,Nelson,2017-03-04
Airport West,3,h,,S,Brad,2017-03-04
Airport West,2,h,603000.0,S,Nelson,2017-03-04
Airport West,3,t,700000.0,S,Brad,2017-03-04
Airport West,3,h,600000.0,S,Maddison,2017-03-04
Airport West,2,u,500000.0,VB,Barry,2017-03-04
Airport West,2,t,420000.0,VB,Barry,2016-06-04
Airport West,3,t,500000.0,VB,Nelson,2016-06-04
Airport West,5,h,1035000.0,S,Airport,2016-08-06
Airport West,4,h,960000.0,S,Barry,2016-08-06
Airport West,4,h,960000.0,S,Nelson,2016-08-06
Airport West,3,h,720000.0,S,Barry,2016-08-06
Airport West,4,h,785000.0,S,Considine,2016-08-06
Airport West,6,h,725000.0,SP,Barry,2016-05-07
Airport West,2,t,450000.0,S,Barry,2016-05-07
Airport West,2,u,515000.0,S,Barry,2016-11-07
Airport West,3,h,680000.0,VB,Nelson,2016-10-08
Airport West,2,u,530000.0,S,Nelson,2016-09-10
Airport West,3,h,895000.0,PI,Rendina,2016-09-10
Airport West,3,u,600000.0,VB,Nelson,2016-09-10
Airport West,3,h,805000.0,S,Nelson,2016-12-10
Airport West,3,t,760000.0,PI,Barry,2016-12-10
Airport West,3,u,752000.0,S,Nelson,2017-02-11
Airport West,3,u,580000.0,VB,Nelson,2016-11-12
Airport West,3,h,725000.0,PI,Ray,2016-11-12
Airport West,4,h,758000.0,S,Jellis,2016-08-13
Airport West,2,u,440000.0,S,Barry,2016-08-13
Airport West,3,h,970000.0,S,Barry,2016-05-14
Airport West,5,h,755000.0,PI,Propertyau,2016-05-14
Airport West,4,h,985000.0,S,Barry,2016-10-15
Airport West,3,t,700000.0,PI,Brad,2016-10-15
Airport West,2,u,509500.0,SP,Nelson,2016-10-15
Airport West,3,h,830000.0,S,Barry,2016-04-16
Airport West,2,u,462500.0,S,Barry,2016-07-16
Airport West,3,h,670000.0,SP,Barry,2016-07-16
Airport West,2,h,675000.0,S,Barry,2016-07-16
Airport West,3,h,1042000.0,S,Nelson,2016-07-16
Airport West,3,h,910000.0,S,McDonald,2016-09-17
Airport West,4,h,773000.0,S,Brad,2016-09-17
Airport West,3,h,715000.0,S,Barry,2016-09-17
Airport West,3,h,810000.0,PI,Barry,2017-03-18
Airport West,3,h,715000.0,S,Rendina,2017-03-18
Airport West,3,h,790000.0,S,Nelson,2017-03-18
Airport West,2,t,460000.0,VB,Nelson,2016-06-18
Airport West,3,t,540000.0,SP,Nelson,2016-06-18
Airport West,3,t,825000.0,SP,Barry,2016-11-19
Airport West,3,h,685000.0,S,Barry,2016-05-22
Airport West,3,u,445000.0,S,Brad,2016-05-22
Airport West,3,h,805000.0,S,Barry,2016-08-22
Airport West,2,u,510000.0,S,Nelson,2016-08-22
Airport West,3,h,612000.0,S,Nelson,2016-08-22
Airport West,3,h,662000.0,S,Brad,2016-04-23
Airport West,4,h,978000.0,S,Nelson,2016-09-24
Airport West,3,u,,VB,Barry,2017-02-25
Airport West,3,h,720000.0,PI,Nelson,2017-02-25
Airport West,2,u,474000.0,PI,Barry,2016-07-26
Airport West,2,t,490000.0,SP,Frank,2016-07-26
Airport West,3,h,405000.0,S,Ray,2016-06-27
Airport West,3,t,715000.0,S,Barry,2016-11-27
Airport West,3,u,671500.0,S,McDonald,2016-11-27
Airport West,4,h,765000.0,S,Prof.,2016-11-27
Airport West,4,h,900000.0,S,Harcourts,2016-11-27
Airport West,3,u,820000.0,S,Nelson,2016-08-28
Airport West,3,u,650000.0,PI,Nelson,2016-07-30
Airport West,3,t,552000.0,SP,Nelson,2016-07-30
Albert Park,2,h,1275000.0,S,hockingstuart,2016-09-03
Albert Park,2,h,1455000.0,S,Thomson,2016-09-03
Albert Park,3,h,2850000.0,PI,Buxton,2017-03-04
Albert Park,3,h,1850000.0,S,Greg,2017-03-04
Albert Park,2,h,,SP,Marshall,2017-03-04
Albert Park,2,h,1436000.0,S,RT,2017-03-04
Albert Park,3,h,,SN,Greg,2016-08-06
Albert Park,2,h,1110000.0,S,Marshall,2016-08-06
Albert Park,2,h,1550000.0,S,Sotheby's,2016-05-07
Albert Park,4,h,2300000.0,S,Marshall,2016-05-07
Albert Park,3,h,,S,Marshall,2016-05-07
Albert Park,3,t,1550000.0,VB,Marshall,2016-11-07
Albert Park,3,h,1800000.0,VB,Greg,2016-11-07
Albert Park,3,h,2485000.0,S,Cayzer,2016-10-08
Albert Park,2,h,2120000.0,S,Greg,2016-09-10
Albert Park,3,h,1800000.0,VB,Cayzer,2016-09-10
Albert Park,3,h,1800000.0,S,Marshall,2016-09-10
Albert Park,3,h,,SN,Marshall,2016-09-10
Albert Park,2,h,1810000.0,PI,Greg,2016-12-10
Albert Park,3,h,2615000.0,S,Cayzer,2016-12-10
Albert Park,5,h,2100000.0,S,Greg,2016-12-10
Albert Park,3,h,1300000.0,S,hockingstuart,2016-12-10
Albert Park,3,h,1370000.0,S,Greg,2016-06-12
Albert Park,2,h,1000000.0,S,Cayzer,2016-11-12
Albert Park,2,h,,SP,Marshall,2016-08-13
Albert Park,3,h,2575000.0,S,Greg,2016-10-15
Albert Park,2,h,1322500.0,S,Greg,2016-10-15
Albert Park,2,h,,S,hockingstuart,2016-10-15
Albert Park,2,h,1562500.0,S,Greg,2016-10-15
Albert Park,3,h,2000000.0,VB,RT,2016-04-16
Albert Park,4,h,,S,Marshall,2016-09-17
Albert Park,3,h,,S,Marshall,2017-03-18
Albert Park,3,h,1900000.0,S,Greg,2017-03-18
Albert Park,3,h,3010000.0,S,Greg,2017-03-18
Albert Park,3,h,,SP,Marshall,2016-06-18
Albert Park,4,h,2800000.0,VB,Cayzer,2016-06-18
Albert Park,3,h,,SN,Cayzer,2016-11-19
Albert Park,2,u,647000.0,S,Greg,2016-05-22
Albert Park,3,h,,SP,Marshall,2016-05-22
Albert Park,3,h,2100000.0,SP,Marshall,2016-04-23
Albert Park,3,h,,S,Greg,2016-09-24
Albert Park,2,h,,PI,Marshall,2016-09-24
Albert Park,7,h,,SN,hockingstuart,2016-09-24
Albert Park,3,h,2000000.0,PI,Marshall,2016-09-24
Albert Park,1,u,442500.0,S,Marshall,2017-02-25
Albert Park,4,h,4735000.0,S,Marshall,2017-02-25
Albert Park,2,h,1340000.0,S,Greg,2017-02-25
Albert Park,3,h,1801000.0,S,hockingstuart,2017-02-25
Albert Park,3,h,1532000.0,S,Chisholm,2016-07-26
Albert Park,3,h,3755000.0,S,Greg,2016-07-26
Albert Park,4,h,2140000.0,S,Greg,2016-06-27
Albert Park,2,u,1810000.0,PI,Marshall,2016-06-27
Albert Park,2,h,1750000.0,S,Marshall,2016-11-27
Albert Park,2,h,980000.0,S,Greg,2016-05-28
Albert Park,2,h,,SP,Marshall,2016-05-28
Albert Park,4,h,,SP,Marshall,2016-05-28
Albert Park,3,h,,SN,Greg,2016-05-28
Albert Park,3,h,2030000.0,S,hockingstuart,2016-08-28
Albert Park,3,h,1740000.0,PI,Marshall,2016-08-28
Albert Park,3,h,2800000.0,VB,Buxton,2016-07-30
Albert Park,1,h,985000.0,S,Marshall,2016-07-30
Alphington,3,h,,SN,McGrath,2016-09-03
Alphington,4,h,2000000.0,S,Brace,2016-09-03
Alphington,3,h,1110000.0,S,Jellis,2016-09-03
Alphington,3,h,1492000.0,S,Jellis,2017-03-04
Alphington,2,u,480000.0,PI,Miles,2016-05-07
Alphington,3,h,,S,Jellis,2016-05-07
Alphington,3,t,1304000.0,SP,Holland,2016-10-08
Alphington,4,h,1717500.0,S,Collins,2016-10-08
Alphington,5,h,2840000.0,S,Nelson,2016-06-12
Alphington,5,h,,S,Collins,2016-11-12
Alphington,2,u,525500.0,S,Miles,2016-11-12
Alphington,2,t,805000.0,S,Miles,2016-11-12
Alphington,2,u,465000.0,S,McGrath,2016-11-12
Alphington,4,t,,PN,Nelson,2016-08-13
Alphington,3,h,1480000.0,S,Nelson,2016-08-13
Alphington,3,h,2000000.0,PI,hockingstuart,2016-10-15
Alphington,3,h,1540000.0,S,Nelson,2016-04-16
Alphington,4,h,,S,Jellis,2016-04-16
Alphington,2,u,590000.0,PI,Nelson,2016-09-17
Alphington,2,u,820000.0,S,Nelson,2017-03-18
Alphington,4,h,1830000.0,S,Nelson,2016-11-19
Alphington,4,h,2100000.0,S,Nelson,2016-11-19
Alphington,3,h,865000.0,SP,hockingstuart,2016-05-22
Alphington,2,u,390000.0,VB,Nelson,2016-05-22
Alphington,2,t,650000.0,SP,Brace,2016-09-24
Alphington,2,u,512000.0,S,Love,2017-02-25
Alphington,3,h,1361000.0,S,Collins,2017-02-25
Alphington,4,h,,SP,Jellis,2017-02-25
Alphington,3,h,1310000.0,S,Jellis,2016-07-26
Alphington,3,h,570000.0,VB,Thomas,2016-06-27
Alphington,3,h,1165000.0,S,Barry,2016-06-27
Alphington,2,u,530000.0,S,Jellis,2016-11-27
Alphington,4,h,1900000.0,SP,McGrath,2016-11-27
Alphington,5,h,,SN,Nelson,2016-08-28
Alphington,3,h,1485000.0,SP,McGrath,2016-08-28
Alphington,4,h,1950000.0,S,Jellis,2016-07-30
Altona,3,h,520000.0,VB,Greg,2016-09-03
Altona,5,h,1525000.0,S,Greg,2016-12-03
Altona,2,t,720000.0,S,hockingstuart,2016-02-04
Altona,3,h,1120000.0,S,Barlow,2017-03-04
Altona,4,h,780000.0,PI,Sweeney,2016-06-04
Altona,4,h,1780000.0,SP,Greg,2016-06-04
Altona,3,u,630000.0,S,Barlow,2016-08-06
Altona,2,u,406000.0,SP,hockingstuart,2016-08-06
Altona,3,h,660000.0,VB,Greg,2016-05-07
Altona,3,h,683500.0,S,Greg,2016-11-07
Altona,2,u,540000.0,VB,hockingstuart,2016-10-08
Altona,2,u,580000.0,S,Barlow,2016-10-08
Altona,3,h,1335000.0,S,hockingstuart,2016-10-08
Altona,3,t,800000.0,SP,hockingstuart,2016-10-08
Altona,2,u,510000.0,S,Village,2016-09-10
Altona,4,h,1070000.0,S,Barlow,2016-09-10
Altona,2,u,425000.0,S,hockingstuart,2016-09-10
Altona,3,u,605000.0,S,Jas,2016-12-10
Altona,3,t,705000.0,S,hockingstuart,2017-02-11
Altona,2,u,391000.0,SP,Greg,2017-02-11
Altona,2,u,440000.0,SP,hockingstuart,2017-02-11
Altona,4,h,845000.0,S,hockingstuart,2017-02-11
Altona,3,h,766000.0,S,Williams,2017-03-11
Altona,3,t,743000.0,SP,Gunn&Co,2016-11-12
Altona,3,t,650000.0,SP,Williams,2016-11-12
Altona,3,u,730000.0,SP,Barlow,2016-08-13
Altona,3,t,916500.0,S,hockingstuart,2016-08-13
Altona,3,h,635000.0,S,Sweeney,2016-05-14
Altona,2,u,620000.0,SP,hockingstuart,2016-05-14
Altona,2,u,447000.0,S,Burnham,2016-10-15
Altona,3,u,730000.0,SP,Barlow,2016-04-16
Altona,3,h,678000.0,S,hockingstuart,2016-04-16
Altona,2,u,580000.0,PI,Biggin,2016-07-16
Altona,3,h,712000.0,S,hockingstuart,2016-09-17
Altona,3,h,840000.0,SP,Greg,2017-03-18
Altona,3,h,980000.0,S,Barlow,2016-11-19
Altona,4,h,1000000.0,S,Barlow,2016-11-19
Altona,3,t,605100.0,S,hockingstuart,2016-05-22
Altona,3,h,880000.0,PI,Barlow,2016-08-22
Altona,3,u,577000.0,S,Williams,2016-04-23
Altona,4,h,,SN,hockingstuart,2017-02-25
Altona,4,h,1030000.0,S,Barlow,2017-02-25
Altona,3,u,605000.0,S,Barlow,2017-02-25
Altona,3,h,685000.0,S,Barlow,2017-02-25
Altona,2,u,,PI,Point,2017-02-25
Altona,3,h,753000.0,S,Barlow,2016-06-27
Altona,2,h,857000.0,SP,hockingstuart,2016-11-27
Altona,3,h,1500000.0,S,Barlow,2016-05-28
Altona,3,u,730000.0,SP,Barlow,2016-05-28
Altona,3,h,900000.0,S,Sweeney,2016-05-28
Altona,3,h,740000.0,S,Greg,2016-08-28
Altona,4,h,931000.0,S,Sweeney,2016-08-28
Altona,2,h,535600.0,SP,Compton,2016-07-30
Altona North,3,h,,SP,Williams,2016-09-03
Altona North,5,h,1085000.0,S,FN,2016-09-03
Altona North,3,h,781000.0,S,Jas,2016-09-03
Altona North,4,h,857500.0,S,hockingstuart,2016-09-03
Altona North,4,h,960000.0,S,Sweeney,2017-03-04
Altona North,3,h,750000.0,SP,Jas,2017-03-04
Altona North,2,t,421000.0,S,hockingstuart,2017-03-04
Altona North,3,h,1405000.0,S,Sweeney,2017-03-04
Altona North,2,h,,S,hockingstuart,2017-03-04
Altona North,3,h,683000.0,S,FN,2016-06-04
Altona North,3,h,,SN,Barry,2016-06-04
Altona North,3,h,623000.0,S,Sweeney,2016-06-04
Altona North,3,h,720000.0,VB,Greg,2016-08-06
Altona North,4,t,780000.0,S,hockingstuart,2016-05-07
Altona North,3,u,720000.0,S,hockingstuart,2016-05-07
Altona North,3,h,705000.0,SP,Village,2016-05-07
Altona North,3,h,588000.0,S,Williams,2016-05-07
Altona North,4,h,720000.0,VB,hockingstuart,2016-05-07
Altona North,3,h,710000.0,PI,Village,2016-11-07
Altona North,2,h,550000.0,SP,RT,2016-11-07
Altona North,3,u,640000.0,VB,hockingstuart,2016-11-07
Altona North,3,h,537500.0,SP,hockingstuart,2016-11-07
Altona North,4,t,,PN,Williams,2016-11-07
Altona North,4,h,875000.0,SP,Jas,2016-10-08
Altona North,3,h,800000.0,S,Barlow,2016-10-08
Altona North,3,t,713500.0,S,Greg,2016-09-10
Altona North,4,h,,PN,hockingstuart,2016-12-10
Altona North,3,h,700000.0,VB,Jas,2016-12-10
Altona North,2,h,551000.0,SP,RT,2016-12-10
Altona North,3,h,685000.0,SP,Greg,2016-12-10
Altona North,2,t,640000.0,S,Williams,2017-03-11
Altona North,4,h,650000.0,SP,Williams,2016-06-12
Altona North,3,h,925000.0,SP,RT,2016-11-12
Altona North,3,h,,PI,RT,2016-08-13
Altona North,2,h,,PI,Greg,2016-08-13
Altona North,3,t,670000.0,VB,Greg,2016-05-14
Altona North,3,h,680000.0,SP,Hunter,2016-05-14
Altona North,3,h,765000.0,S,Greg,2016-05-14
Altona North,3,h,675000.0,S,hockingstuart,2016-05-14
Altona North,3,h,708000.0,S,Greg,2016-10-15
Altona North,3,t,656000.0,SP,Gunn&Co,2016-10-15
Altona North,4,h,883000.0,S,hockingstuart,2016-10-15
Altona North,4,h,965000.0,SP,Gunn&Co,2016-10-15
Altona North,3,h,870000.0,S,Hunter,2016-10-15
Altona North,3,h,681000.0,PI,Village,2016-10-15
Altona North,2,h,522500.0,SA,hockingstuart,2016-07-16
Altona North,5,h,972000.0,S,Sweeney,2016-09-17
Altona North,3,t,590000.0,PI,RT,2016-06-18
Altona North,2,h,450000.0,PI,RT,2016-06-18
Altona North,3,h,765000.0,S,Greg,2016-06-18
Altona North,3,h,750000.0,VB,Greg,2016-06-18
Altona North,3,h,680000.0,S,Sweeney,2016-11-19
Altona North,1,u,,PI,hockingstuart,2016-11-19
Altona North,2,t,510000.0,SP,Williams,2016-11-19
Altona North,3,h,770000.0,SP,hockingstuart,2016-11-19
Altona North,3,h,923000.0,S,Greg,2016-05-22
Altona North,4,h,693000.0,SP,Raine&Horne,2016-05-22
Altona North,3,h,620000.0,SP,Hunter,2016-08-22
Altona North,3,h,800000.0,S,Buxton,2016-08-22
Altona North,3,h,728500.0,S,Jas,2016-08-22
Altona North,3,h,931000.0,S,hockingstuart,2016-08-22
Altona North,3,h,988000.0,S,Sweeney,2016-08-22
Altona North,3,h,590000.0,SP,RT,2016-04-23
Altona North,3,h,590000.0,S,Village,2016-04-23
Altona North,2,h,610000.0,S,RT,2016-09-24
Altona North,2,h,,PI,Jas,2017-02-25
Altona North,3,h,815000.0,S,hockingstuart,2017-02-25
Altona North,4,h,970000.0,S,Greg,2017-02-25
Altona North,4,h,840000.0,S,hockingstuart,2016-07-26
Altona North,3,h,840000.0,S,Sweeney,2016-07-26
Altona North,4,h,760000.0,S,Hunter,2016-06-27
Altona North,3,h,852500.0,S,RT,2016-06-27
Altona North,4,t,847500.0,S,RT,2016-06-27
Altona North,4,h,1200000.0,SP,RT,2016-11-27
Altona North,3,h,630000.0,S,RT,2016-11-27
Altona North,3,h,,PI,Hunter,2016-11-27
Altona North,3,h,700000.0,SP,Hunter,2016-11-27
Altona North,3,h,625000.0,PI,Hunter,2016-05-28
Altona North,2,u,292000.0,S,Jas,2016-08-28
Altona North,3,t,640000.0,PI,hockingstuart,2016-08-28
Altona North,3,h,800000.0,SP,RT,2016-07-30
Armadale,3,h,,S,RT,2016-09-03
Armadale,2,u,599000.0,S,Jellis,2016-09-03
Armadale,2,u,550000.0,VB,Noel,2016-12-03
Armadale,3,u,995000.0,S,Marshall,2016-12-03
Armadale,3,t,1205000.0,S,Jellis,2016-12-03
Armadale,3,h,,S,Jellis,2016-12-03
Armadale,3,h,2675000.0,S,Marshall,2016-12-03
Armadale,3,h,1939000.0,S,Jellis,2016-12-03
Armadale,1,u,421500.0,S,Biggin,2016-12-03
Armadale,2,u,585000.0,SP,hockingstuart,2016-12-03
Armadale,3,h,2050000.0,S,Marshall,2017-03-04
Armadale,3,h,1870000.0,S,Hodges,2017-03-04
Armadale,4,h,,SN,Thomson,2017-03-04
Armadale,2,u,678000.0,S,hockingstuart,2017-03-04
Armadale,2,h,,PI,Marshall,2017-03-04
Armadale,3,h,,S,Jellis,2017-03-04
Armadale,3,t,1918000.0,SP,Jellis,2017-03-04
Armadale,1,u,,SP,hockingstuart,2017-03-04
Armadale,2,u,660000.0,SP,hockingstuart,2017-03-04
Armadale,3,h,2050000.0,S,Marshall,2017-03-04
Armadale,4,h,,S,RT,2016-06-04
Armadale,2,u,,SP,hockingstuart,2016-06-04
Armadale,2,u,700000.0,VB,Jellis,2016-06-04
Armadale,2,u,3625000.0,S,Jellis,2016-06-04
Armadale,4,h,3000000.0,VB,Jellis,2016-06-04
Armadale,2,h,1930000.0,S,Jellis,2016-08-06
Armadale,5,h,1525000.0,PI,Jellis,2016-05-07
Armadale,4,h,,S,Marshall,2016-05-07
Armadale,3,u,735000.0,PI,Marshall,2016-05-07
Armadale,2,u,825000.0,S,Jellis,2016-05-07
Armadale,3,t,1586000.0,S,RT,2016-05-07
Armadale,4,h,,S,Jellis,2016-05-07
Armadale,3,t,,S,Jellis,2016-05-07
Armadale,2,u,,S,hockingstuart,2016-05-07
Armadale,5,h,,S,Marshall,2016-11-07
Armadale,2,u,645000.0,S,Marshall,2016-10-08
Armadale,1,h,1435000.0,SP,Jellis,2016-10-08
Armadale,4,h,,SN,hockingstuart,2016-09-10
Armadale,1,u,280000.0,PI,hockingstuart,2016-09-10
Armadale,1,u,400000.0,PI,hockingstuart,2016-12-10
Armadale,4,h,,SP,Jellis,2016-12-10
Armadale,2,h,1780000.0,S,Marshall,2016-12-10
Armadale,3,h,,SP,Jellis,2016-12-10
Armadale,2,u,592500.0,S,hockingstuart,2016-12-10
Armadale,3,h,,S,Jellis,2016-11-12
Armadale,2,h,1210000.0,S,Marshall,2016-11-12
Armadale,4,h,2801000.0,S,Marshall,2016-11-12
Armadale,3,u,,SP,Marshall,2016-08-13
Armadale,3,h,,S,Jellis,2016-08-13
Armadale,3,h,,SN,Gary,2016-05-14
Armadale,1,u,390000.0,S,Jellis,2016-05-14
Armadale,3,h,,S,Jellis,2016-10-15
Armadale,3,h,1800000.0,PI,RT,2016-10-15
Armadale,4,h,,SN,hockingstuart,2016-10-15
Armadale,4,h,2200000.0,PI,Jellis,2016-10-15
Armadale,4,h,,S,Jellis,2016-04-16
Armadale,1,u,324000.0,S,Jellis,2016-04-16
Armadale,3,h,,S,Marshall,2016-04-16
Armadale,2,u,,S,hockingstuart,2016-07-16
Armadale,2,u,,S,hockingstuart,2016-07-16
Armadale,3,u,,SP,Marshall,2016-07-16
Armadale,2,h,,S,Jellis,2016-09-17
Armadale,6,h,5525000.0,S,Marshall,2016-09-17
Armadale,4,h,,S,Jellis,2016-09-17
Armadale,2,h,1125000.0,S,RT,2016-09-17
Armadale,3,h,2250000.0,S,Marshall,2016-09-17
Armadale,3,h,2360000.0,S,hockingstuart,2017-03-18
Armadale,2,h,1900000.0,VB,Jellis,2017-03-18
Armadale,1,u,440000.0,SP,Jellis,2017-03-18
Armadale,2,u,,SP,hockingstuart,2017-03-18
Armadale,2,u,,SN,Thomson,2017-03-18
Armadale,2,u,490000.0,PI,Ray,2016-06-18
Armadale,3,t,,PI,Marshall,2016-06-18
Armadale,3,h,2365000.0,S,Marshall,2016-06-18
Armadale,3,h,1300000.0,VB,Jellis,2016-06-18
Armadale,2,u,,SP,Jellis,2016-06-18
Armadale,3,u,732000.0,S,Gary,2016-06-18
Armadale,2,u,704000.0,SP,Greg,2016-11-19
Armadale,4,h,,S,Jellis,2016-11-19
Armadale,2,u,,S,Jellis,2016-11-19
Armadale,2,u,620000.0,VB,Marshall,2016-11-19
Armadale,3,h,1900000.0,S,Marshall,2016-05-22
Armadale,3,h,,S,Marshall,2016-05-22
Armadale,3,t,,S,Kay,2016-05-22
Armadale,2,u,,S,hockingstuart,2016-05-22
Armadale,1,u,315000.0,SP,Fletchers,2016-08-22
Armadale,3,h,,SP,Marshall,2016-04-23
Armadale,3,h,1992000.0,S,Jellis,2016-04-23
Armadale,1,u,450000.0,PI,hockingstuart,2016-09-24
Armadale,2,u,710000.0,S,Jellis,2017-02-25
Armadale,2,u,872000.0,S,Jellis,2017-02-25
Armadale,2,u,598000.0,S,hockingstuart,2017-02-25
Armadale,3,h,,SN,Kay,2017-02-25
Armadale,3,h,1285000.0,S,Marshall,2017-02-25
Armadale,4,h,3660000.0,S,Jellis,2017-02-25
Armadale,3,h,,VB,Marshall,2017-02-25
Armadale,2,u,,S,hockingstuart,2016-07-26
Armadale,2,u,520000.0,S,hockingstuart,2016-06-27
Armadale,4,h,2760000.0,S,Marshall,2016-06-27
Armadale,4,h,,S,Jellis,2016-11-27
Armadale,2,u,690000.0,VB,Jellis,2016-11-27
Armadale,4,h,3625000.0,S,Jellis,2016-11-27
Armadale,4,h,4200000.0,VB,Kay,2016-11-27
Armadale,3,t,1101000.0,S,Jellis,2016-11-27
Armadale,3,h,3512500.0,S,Marshall,2016-11-27
Armadale,2,u,,S,hockingstuart,2016-11-27
Armadale,2,u,,SN,Kay,2016-11-27
Armadale,4,h,2000000.0,PI,Marshall,2016-05-28
Armadale,3,h,,S,Kay,2016-05-28
Armadale,3,u,869000.0,S,Jellis,2016-05-28
Armadale,2,u,577000.0,S,Jellis,2016-08-28
Armadale,3,h,,SP,Marshall,2016-08-28
Armadale,2,u,,S,hockingstuart,2016-08-28
Armadale,3,h,2865000.0,S,Marshall,2016-08-28
Armadale,5,h,2810000.0,S,Marshall,2016-08-28
Armadale,2,u,565000.0,S,Ray,2016-08-28
Armadale,1,u,567000.0,S,hockingstuart,2016-08-28
Armadale,2,u,546000.0,SP,hockingstuart,2016-07-30
Armadale,2,h,,SN,hockingstuart,2016-07-30
Armadale,2,u,471500.0,S,Ray,2016-07-30
Ascot Vale,3,h,,S,Jellis,2016-09-03
Ascot Vale,2,u,455000.0,S,Nelson,2016-09-03
Ascot Vale,3,h,940000.0,S,Nelson,2016-12-03
Ascot Vale,2,u,467000.0,SP,Brad,2016-12-03
Ascot Vale,3,h,,S,Brad,2016-12-03
Ascot Vale,3,h,895000.0,S,Nelson,2016-02-04
Ascot Vale,3,h,1380000.0,SP,Nelson,2017-03-04
Ascot Vale,2,u,490000.0,VB,Jellis,2017-03-04
Ascot Vale,4,h,1850000.0,S,Brad,2017-03-04
Ascot Vale,3,h,1284000.0,S,Woodards,2017-03-04
Ascot Vale,3,h,971000.0,SP,Nelson,2016-06-04
